authority_score,betweenness,closeness
3.58728152997e-08,7.0,2.32032358391,
3.62672708697e-09,0.0,2.87082546908,
5.65551645414e-09,0.0,2.56150356654,
9.82917493983e-08,0.0,2.31942187751,
6.89628032312e-06,25.0,2.04935844987,
2.90976728175e-07,7.0,2.37187290151,
3.04518068423e-08,2899.0,3.05786764545,
1.1891809929e-07,9.0,1.8586724339,
4.07671370532e-09,3932.0,2.9458320813,
3.65419732904e-09,0.0,2.87082546908,
9.83122949179e-09,48.0,2.33132252758,
3.406729185e-08,0.0,2.19195454326,
7.6322884619e-09,0.0,2.31836417699,
5.50164412475e-08,3852.0,2.23324112658,
2.78379489154e-09,0.0,3.03569045557,
1.25744435759e-08,1.0,2.00630649669,
7.2314296157e-09,0.0,2.36923970174,
2.78740560306e-09,0.0,3.03569045557,
1.78801315754e-09,3945.0,3.28005438051,
2.27453985735e-08,0.0,2.06101335879,
1.80631740588e-07,13.0,2.04496393593,
2.64279911119e-07,0.0,1.63603292906,
1.06491825917e-08,0.0,2.12200756194,
2.96317694417e-07,0.0,1.57487558119,
6.23649912981e-09,0.0,2.56150356654,
3.6395805409e-09,5.0,2.87170774163,
2.96881631924e-09,0.0,3.0360048991,
4.31909825949e-09,3959.0,2.74644155437,
4.36891189717e-09,0.0,2.7460683471,
1.22306739547e-08,0.0,2.0310766053,
6.77900665015e-09,0.0,2.42572036979,
1.73585083076e-08,9.0,2.23441431562,
2.27413215807e-08,0.0,2.12162064802,
1.05265588745e-09,2205.0,3.54670368158,
2.03918884608e-07,2.0,1.76935464712,
3.21899620875e-07,0.0,1.49573170679,
3.67760515917e-09,0.0,2.87082546908,
3.66740415612e-09,3889.0,2.87271981318,
3.32635099432e-07,3.0,2.08360738285,
3.48546282679e-08,18.0,1.98699900098,
1.70868749433e-09,0.0,3.2798439481,
3.75967086927e-09,5.0,2.87222121794,
1.7936364332e-08,7593.0,3.03642865551,
2.45959600723e-08,1.0,2.56236797984,
1.35764992732e-07,2.0,1.80058380662,
9.14134995748e-08,0.0,2.06040382251,
9.08966585836e-06,46.0,1.9454767682,
9.94166000813e-09,0.0,2.08957529608,
1.70997043517e-09,0.0,3.2798439481,
1.41090845517e-08,0.0,2.48932789005,
6.77900665015e-09,0.0,2.42572036979,
5.01277072633e-09,0.0,2.6456130097,
3.68118800393e-09,0.0,2.87082546908,
5.70190109013e-08,0.0,2.48996162937,
2.52090876209e-08,3897.0,2.3192576654,
1.45309118053e-07,2.0,1.85426190617,
1.88154256704e-07,7.0,1.83794128296,
7.20944182852e-09,0.0,2.36923970174,
9.02014554579e-09,0.0,2.19057665372,
9.13202100296e-09,0.0,2.1555644966,
2.91393385022e-09,0.0,3.03569045557,
5.7311478993e-09,7760.0,2.64761889598,
6.46469759676e-09,14.0,2.42776271761,
7.11909631592e-08,6.0,1.98420181691,
1.23921687725e-07,0.0,1.89246458831,
1.70471073694e-09,0.0,3.2798439481,
1.92706148305e-09,3944.0,3.28005438051,
3.28879480397e-08,0.0,2.74661915469,
2.32249379985e-07,32.0,1.86172828699,
6.56346163031e-09,0.0,2.56191876672,
5.488469413e-08,2.0,2.10703059177,
3.21119320709e-07,0.0,2.52114580093,
2.81723186126e-09,803.333333333,3.03628058009,
1.7080192178e-09,0.0,3.2798439481,
3.76508161843e-08,22.0,1.92068630048,
6.12586963705e-09,0.0,2.48937946427,
1.70471073694e-09,0.0,3.2798439481,
4.37126323738e-09,0.0,2.74687674485,
1.24839131025e-05,41.0,2.19530320114,
7.90857830773e-09,0.0,3.03600818079,
9.59053888425e-08,35.0,1.98722570132,
4.70310564453e-08,13.0,2.17468697779,
1.59670379196e-08,3876.0,2.74720993028,
